Model,Scaler,Train_RMSE,Val_RMSE,Train_R2,Val_R2
LinearRegression,StandardScaler,66.53540131050343,70.8733897155364,0.5535117996964012,0.48961139566069056
LinearRegression,MinMaxScaler,66.53540131050333,70.87338971553942,0.5535117996964024,0.48961139566064993
LinearRegression,RobustScaler,66.53540131050343,70.87338971553919,0.5535117996964011,0.4896113956606518
RandomForestRegressor,StandardScaler,26.132204380329362,69.92023644127812,0.9311236978974465,0.5028575479949706
RandomForestRegressor,MinMaxScaler,26.132290468864152,69.8636248338633,0.9311231926299846,0.5036529337832312
RandomForestRegressor,RobustScaler,26.125917842796348,69.91068698023057,0.9311566999721558,0.503011846946679
XGBRegressor,StandardScaler,6.803175419316626,73.38368675448896,0.9953187189304666,0.4533873801887724
XGBRegressor,MinMaxScaler,7.462456623319691,73.64558097757791,0.994361536470648,0.4492502582696442
XGBRegressor,RobustScaler,6.99039109251846,74.03879138480468,0.99506509530902,0.44280550994521234
